material_id,bulkMod,shearMod,vol/atom,band_gap,density,energy_per_atom,formation_energy_per_atom,total_magnetization,atomic_mass,atomic_number,boiling_point,column,electronegativity,melting_point,row
mp-1025173,110,66,16.69678626,0.0,5.228465449,-7.470910809,-1.259555435,0.7852248,52.57242857,24.28571429,2322.211429,11.42857143,2.311428571,1326.634286,3.714285714
mp-10884,188,98,11.59803697,0.0,7.18350967,-6.96194822,-0.354967538,4.9789843,50.17323215,23.25,3081.5,9.75,1.8,1570.1175,3.75
mp-2159,63,19,29.19705506,0.0,8.24950281,-5.15007403,-1.276144515,5.9e-06,145.05,59.0,2050.5,14.0,1.66,1201.33,6.5
mp-22390,166,70,12.59927396,0.0,6.238930875,-6.936573535,-2.204167261,2.002916025,47.33764,21.2,1269.72,11.6,2.694,764.28,3.2
mp-4009,40,14,26.52282438,0.3844,4.818885149,-5.060891821,-1.551879603,2.6e-05,76.96925,33.5,1703.685,11.0,2.0625,901.1925,4.25
mp-1039385,17,5,39.39974852,0.0,1.578329954,-1.898963867,0.037728112,0.0018676,37.44916667,18.66666667,1691.333333,2.0,1.051666667,1083.0,3.833333333
mp-7991,95,69,11.29173138,4.2732,1.824820232,-8.787616768,-1.472117377,0.0,12.40885,6.0,2138.68,14.0,2.54,1206.025,2.0
mp-19359,114,72,10.95658852,1.9919,4.199378948,-5.81404994,-1.937575379,4.9999971,27.70839232,13.25,1117.6,10.25,2.41,572.8675,2.75
mp-865278,262,130,15.19956195,0.0,13.66564469,-9.51166836,-0.436466405,1.3e-06,125.0869796,51.5,4594.75,8.5,1.9025,2573.8675,5.0
mp-771930,154,7,11.67877411,0.0,7.164905999,-8.873683762,-2.750473888,8.9984604,50.39166,22.2,1002.92,12.6,2.636,688.68,3.6
mp-1025183,164,128,11.46783918,0.0,7.966366347,-7.020753113,-0.578509752,1.3e-06,55.01647714,22.85714286,3869.428571,13.14285714,1.881428571,2380.571429,3.714285714
mp-12693,65,40,17.31721955,0.0,4.842913767,-3.944416947,-0.422525437,0.0002442,50.50516667,23.0,2231.333333,4.333333333,1.633333333,1361.0,3.666666667
mp-16053,27,21,12.60177467,0.103,3.679808188,-6.698531404,-2.253656901,1.00001365,27.92594,13.4,1328.72,14.6,2.824,641.834,2.6
